Countries,Point Estimate
Afghanistan,6.5
Afghanistan,4.6
Afghanistan,5.3
Afghanistan,4.1
Armenia,10.8
Armenia,15.7
Armenia,11.4
Armenia,16.5
Armenia,13.7
Azerbaijan,6.1
Azerbaijan,6.2
Azerbaijan,4.4
Azerbaijan,13.9
Azerbaijan,10.4
Azerbaijan,14.1
Bahrain,7.5
Bangladesh,0.2
Bangladesh,0.6
Bangladesh,0.3
Bangladesh,0.2
Bangladesh,0.4
Bangladesh,0.2
Bangladesh,0.2
Bangladesh,0.3
Bangladesh,2.4
Bangladesh,0.2
Bangladesh,0.6
Bangladesh,0.9
Bangladesh,0.9
Bangladesh,1.0
Bangladesh,1.0
Bangladesh,0.9
Bangladesh,1.0
Bangladesh,0.8
Bangladesh,1.1
Bangladesh,1.9
Bangladesh,1.7
Bangladesh,1.6
Bangladesh,2.6
Bangladesh,1.6
Bangladesh,1.4
Bangladesh,2.2
Bangladesh,2.1
Bangladesh,2.4
Bhutan,3.5
Bhutan,3.9
Bhutan,5.4
Bhutan,7.6
Brunei Darussalam,8.3
Cambodia,6.5
Cambodia,4.0
Cambodia,1.6
Cambodia,2.0
Cambodia,1.9
Cambodia,2.2
Cambodia,4.1
China,5.3
China,7.2
China,13.6
China,5.5
China,3.4
China,9.2
China,5.9
China,5.8
China,5.7
China,6.6
China,9.1
China,8.5
Democratic People's Republic of Korea,0.9
Democratic People's Republic of Korea,0.0
Democratic People's Republic of Korea,2.3
Georgia,17.9
Georgia,20.8
Georgia,19.8
Georgia,6.0
India,3.2
India,5.9
India,3.6
India,1.9
India,2.4
India,1.6
India,3.5
Indonesia,6.5
Indonesia,1.5
Indonesia,1.5
Indonesia,5.1
Indonesia,11.2
Indonesia,12.3
Indonesia,11.5
Indonesia,8.0
Iran (Islamic Republic of),5.5
Iran (Islamic Republic of),6.9
Iran (Islamic Republic of),2.9
Iraq,5.5
Iraq,15.0
Iraq,11.4
Iraq,6.1
Japan,1.5
Jordan,8.5
Jordan,4.3
Jordan,4.5
Jordan,6.6
Jordan,4.7
Jordan,9.2
Kazakhstan,5.7
Kazakhstan,4.9
Kazakhstan,16.9
Kazakhstan,13.3
Kazakhstan,9.3
Kuwait,8.9
Kuwait,11.0
Kuwait,6.6
Kuwait,6.8
Kuwait,7.1
Kuwait,7.5
Kuwait,8.7
Kuwait,8.5
Kuwait,9.3
Kuwait,9.0
Kuwait,7.8
