Countries and areas,National Point Estimate
Afghanistan,53.2
Afghanistan,59.3
Afghanistan,40.4
Afghanistan,38.2
Albania,26.7
Albania,23.2
Albania,11.3
Algeria,16.9
Algeria,22.9
Algeria,22.6
Algeria,23.6
Algeria,24.0
Algeria,15.4
Algeria,11.7
Algeria,9.8
Angola,61.1
Angola,29.2
Angola,37.6
Argentina,7.1
Argentina,16.9
Argentina,7.2
Argentina,8.7
Armenia,15.1
Armenia,17.3
Armenia,17.9
Armenia,20.9
Armenia,9.4
Australia,0.0
Australia,1.9
Azerbaijan,28.0
Azerbaijan,24.2
Azerbaijan,18.0
Azerbaijan,26.5
Azerbaijan,16.4
Azerbaijan,17.8
Bahrain,13.9
Bahrain,13.6
Bangladesh,70.9
Bangladesh,63.4
Bangladesh,73.6
Bangladesh,71.5
Bangladesh,69.2
Bangladesh,67.3
Bangladesh,65.8
Bangladesh,63.8
Bangladesh,59.6
Bangladesh,59.3
Bangladesh,59.9
Bangladesh,51.1
Bangladesh,53.2
Bangladesh,51.4
Bangladesh,47.8
Bangladesh,50.5
Bangladesh,45.9
Bangladesh,46.2
Bangladesh,45.1
Bangladesh,43.2
Bangladesh,41.3
Bangladesh,44.9
Bangladesh,41.2
Bangladesh,42.0
Bangladesh,38.7
Bangladesh,36.2
Bangladesh,32.7
Bangladesh,30.9
Bangladesh,26.2
Bangladesh,28.0
Barbados,7.7
Belarus,4.5
Belgium,1.6
Belize,22.0
Belize,19.3
Belize,15.0
Benin,32.4
Benin,36.2
Benin,37.4
Benin,34.0
Benin,32.2
Bhutan,60.9
Bhutan,47.7
Bhutan,34.9
Bhutan,33.5
Bolivia (Plurinational State of),41.9
Bolivia (Plurinational State of),34.4
Bolivia (Plurinational State of),33.2
Bolivia (Plurinational State of),32.4
Bolivia (Plurinational State of),27.1
Bolivia (Plurinational State of),18.2
Bolivia (Plurinational State of),16.1
Bosnia and Herzegovina,12.1
Bosnia and Herzegovina,11.8
Bosnia and Herzegovina,8.9
Botswana,35.1
Botswana,29.1
Botswana,28.9
Brazil,19.8
Brazil,13.0
Brazil,7.0
Brazil,7.2
Brunei Darussalam,19.7
Bulgaria,8.8
Bulgaria,9.2
Bulgaria,7.0
Burkina Faso,38.7
Burkina Faso,41.4
Burkina Faso,35.1
Burkina Faso,34.9
Burkina Faso,34.7
Burkina Faso,34.6
Burkina Faso,32.8
Burkina Faso,31.3
Burkina Faso,29.0
Burkina Faso,30.1
Burkina Faso,26.8
Burkina Faso,21.1
Burkina Faso,24.9
Burkina Faso,23.8
Burkina Faso,19.6
Burkina Faso,22.6
Burkina Faso,21.6
Burundi,52.3
Burundi,64.0
Burundi,57.7
Burundi,57.6
Burundi,55.9
Burundi,56.6
Burundi,54.0
Burundi,50.9
Burundi,55.8
Cabo Verde,26.8
Cabo Verde,21.4
Cambodia,58.6
Cambodia,49.0
Cambodia,42.8
Cambodia,39.5
Cambodia,39.8
Cambodia,32.4
Cambodia,21.9
Cameroon,31.6
Cameroon,36.6
Cameroon,35.6
Cameroon,37.6
Cameroon,32.6
Cameroon,31.7
Cameroon,28.9
Central African Republic,39.5
Central African Republic,44.4
Central African Republic,43.6
Central African Republic,40.7
Central African Republic,39.7
Central African Republic,38.0
Central African Republic,37.5
Central African Republic,39.8
Central African Republic,40.2
Chad,44.5
Chad,38.9
Chad,44.4
Chad,38.7
Chad,39.8
Chad,32.1
Chad,31.9
Chad,32.5
Chad,37.8
Chad,30.5
Chad,31.1
Chad,28.0
Chile,13.5
Chile,4.2
Chile,3.9
Chile,3.7
Chile,3.3
Chile,3.1
Chile,2.8
Chile,2.5
Chile,2.5
Chile,2.4
Chile,2.2
Chile,2.1
Chile,2.0
Chile,1.8
Chile,1.8
China,38.3
China,32.3
China,38.0
China,31.2
China,19.8
China,17.8
China,21.8
China,11.7
China,9.8
China,9.0
China,9.4
China,8.1
China,4.8
Colombia,25.8
Colombia,21.8
Colombia,19.6
Colombia,18.2
Colombia,16.0
Colombia,12.6
Colombia,12.7
Comoros,38.5
Comoros,38.7
Comoros,46.9
Comoros,31.1
Congo,30.1
Congo,31.2
Congo,24.4
Congo,21.2
Costa Rica,8.2
Costa Rica,5.6
Costa Rica,9.0
Cuba,7.0
Cuba,7.1
Czechia,3.1
Czechia,2.7
Cote d'Ivoire,19.6
Cote d'Ivoire,30.9
Cote d'Ivoire,31.2
Cote d'Ivoire,39.0
Cote d'Ivoire,29.9
Cote d'Ivoire,21.6
Cote d'Ivoire,23.4
Democratic People's Republic of Korea,63.9
Democratic People's Republic of Korea,51.0
Democratic People's Republic of Korea,44.7
Democratic People's Republic of Korea,43.1
Democratic People's Republic of Korea,32.4
Democratic People's Republic of Korea,27.9
Democratic People's Republic of Korea,19.1
Democratic Republic of the Congo,51.0
Democratic Republic of the Congo,44.4
Democratic Republic of the Congo,45.8
Democratic Republic of the Congo,43.4
Democratic Republic of the Congo,42.7
Democratic Republic of the Congo,41.8
Djibouti,28.0
Djibouti,31.7
Djibouti,31.0
Djibouti,28.0
Djibouti,20.9
Dominican Republic,22.3
Dominican Republic,21.1
Dominican Republic,13.5
Dominican Republic,7.7
Dominican Republic,11.6
Dominican Republic,8.4
Dominican Republic,10.1
Dominican Republic,7.1
Dominican Republic,6.7
Ecuador,40.2
Ecuador,27.9
Ecuador,29.2
Ecuador,25.9
Ecuador,25.4
Ecuador,23.9
Ecuador,23.0
Egypt,36.3
Egypt,34.9
Egypt,31.1
Egypt,34.8
Egypt,30.9
Egypt,26.3
Egypt,24.4
Egypt,20.2
Egypt,23.9
Egypt,30.7
Egypt,22.3
El Salvador,36.7
El Salvador,31.6
El Salvador,32.3
El Salvador,24.6
El Salvador,20.8
El Salvador,13.6
Equatorial Guinea,38.7
Equatorial Guinea,42.7
Equatorial Guinea,35.0
Equatorial Guinea,26.2
Eritrea,69.6
Eritrea,44.1
Eritrea,43.0
Eritrea,52.5
Estonia,1.2
Eswatini,36.5
Eswatini,29.2
Eswatini,40.4
Eswatini,30.9
Eswatini,25.5
Ethiopia,66.9
Ethiopia,57.4
Ethiopia,50.0
Ethiopia,44.4
Ethiopia,40.4
Ethiopia,38.3
Ethiopia,36.8
Fiji,4.3
Fiji,7.3
Fiji,7.2
Gabon,25.9
Gabon,17.0
Gabon,14.4
Gambia,36.1
Gambia,24.1
Gambia,27.7
Gambia,23.4
Gambia,25.1
Gambia,21.1
Gambia,24.6
Gambia,19.0
Gambia,13.6
Gambia,17.5
Georgia,16.1
Georgia,14.6
Georgia,11.8
Georgia,5.8
Germany,1.2
Germany,1.3
Ghana,35.2
Ghana,32.8
Ghana,34.7
Ghana,30.6
Ghana,35.5
Ghana,27.9
Ghana,28.4
Ghana,22.8
Ghana,18.8
Ghana,17.5
Greece,1.5
Guatemala,62.2
Guatemala,55.4
Guatemala,53.1
Guatemala,51.0
Guatemala,54.8
Guatemala,51.5
Guatemala,43.4
Guatemala,46.7
Guatemala,46.0
Guinea,35.3
Guinea,31.1
Guinea,39.3
Guinea,34.0
Guinea,34.4
